Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_1	573	1182	1519	4832	4899	368	1600	511	1957	1657	6957	642	3940	2834	2120	6099	704	502	5770	662	3139	2202	2751	805	2188	1848	6185	1549	830	4157	2039	3019	1239	1194	2849	3964
OTU_2526	70	32	807	746	1199	14	627	102	3269	1252	3365	371	3370	2299	1141	1299	169	269	4696	173	936	837	504	228	2844	1228	4605	643	702	3168	3964	1410	499	1672	1259	3627
OTU_4597	16	4	134	1	39	1	57	19	32	1	302	1121	34	20	11	0	6	2	209	2	629	190	112	1	2195	3448	4556	5723	2686	211	2199	5658	3849	2155	262	1558
OTU_6285	47	40	136	113	108	8	70	1	31	6	23	135	41	32	3	3	79	221	63	195	78	163	85	28	319	141	8	46	33	398	72	37	78	77	156	259
OTU_8534	1973	267	12719	729	4878	47	3944	31	2367	93	2514	287	2597	111	2861	207	2829	197	22480	56	6419	1158	3588	70	857	1032	3026	1348	561	3173	1062	938	502	1070	268	1287
OTU_13772	1281	1511	710	1619	2	0	4	4	442	108	3	1	0	674	0	5	933	89	573	11081	0	7	296	404	4437	49	5	1013	3	3700	2134	3	4170	238	6	4
OTU_15187	151	70	178	392	1709	689	567	55	43	36	0	8	1	71	17	33	500	1293	199	793	3	56	316	300	230	164	1	187	164	417	185	3	399	184	15	5
OTU_16427	75	865	342	3281	6272	832	416	549	134	210	910	2149	4527	2832	21	4153	203	2433	2485	777	168	246	1969	1049	4559	9244	9634	2022	3482	736	952	2147	1181	2570	3654	9722
OTU_20150	834	4055	258	5691	830	1968	1634	1641	228	384	113	288	80	1390	0	1	1139	2871	318	1993	76	363	367	2045	413	423	1	303	826	709	182	286	225	193	1840	209
OTU_21509	1526	447	24	0	1	0	2528	425	715	712	781	698	263	482	881	378	1	3	746	12	527	1447	1029	452	238	997	809	448	1041	313	634	310	1164	317	970	279
OTU_22134	1832	1058	117	101	132	42	1154	552	226	221	0	13	0	28	22	26	392	51	12	0	2	3	234	119	1804	473	142	724	2587	1123	2074	5	727	14	4	1
OTU_22680	207	79	148	364	241	297	2	1	470	1094	0	3	0	217	0	0	738	1961	90	1070	1	1	462	345	429	323	0	187	0	154	148	0	327	42	0	0
OTU_23312	15	0	38	1	160	0	2	3	112	1379	110	42	101	9	0	0	6	2	50	1	372	3758	19	1	178	558	12	803	105	29	372	202	528	33	30	1138
OTU_23642	65	40	80	322	601	21	164	130	278	881	306	93	344	407	154	365	62	41	565	37	233	336	277	86	346	409	390	468	317	360	478	284	367	196	294	306
OTU_24140	91	65	65	86	159	23	221	10	13	10	188	29	10	24	115	92	27	404	45	280	49	36	26	11	140	13	253	20	193	127	54	202	179	33	138	51
OTU_24610	401	299	63	126	121	70	289	98	58	135	49	206	25	89	19	170	255	131	38	281	46	244	88	84	320	518	820	143	219	464	299	197	298	130	574	143
OTU_24853	50	4	128	142	1103	5	201	52	265	673	613	104	1149	414	68	67	65	57	473	14	319	682	214	80	182	306	288	470	160	474	392	409	324	173	300	925
OTU_25374	51	45	55	47	34	9	38	1	19	44	18	12	0	16	16	15	50	482	21	254	6	73	32	6	308	51	12	9	26	50	13	15	52	69	58	9
OTU_25694	3	0	25	1	202	0	7	1	9	987	270	443	169	6	0	0	3	3	95	0	144	1849	75	11	70	108	4	846	22	114	110	50	189	45	22	473
OTU_25907	173	234	137	170	117	93	25	12	28	23	247	246	47	154	63	165	116	34	51	328	109	1300	34	78	313	72	271	67	49	420	45	129	361	31	880	161
OTU_26144	32	68	4	58	130	11	55	95	123	507	128	139	144	172	51	335	31	63	133	36	129	329	65	105	456	292	417	180	65	711	213	216	140	183	362	270
OTU_26435	468	358	194	421	318	317	127	13	162	178	0	89	3	61	200	239	318	1451	157	696	59	274	451	277	820	583	232	353	146	251	84	4	508	226	83	16
OTU_26872	4	0	35	795	347	421	216	127	113	163	388	123	470	1873	38	723	85	587	127	189	55	75	55	627	29	72	59	1102	184	205	247	59	78	46	1463	466
OTU_27211	61	59	117	314	601	22	349	60	249	202	562	236	171	123	116	382	28	56	476	27	740	527	146	47	435	553	1157	373	350	646	427	406	131	306	353	322
OTU_27700	35	71	84	305	573	33	242	105	183	94	700	215	564	517	124	297	24	63	395	34	463	303	122	84	226	442	482	195	279	400	314	556	170	298	351	613
OTU_28026	243	69	233	257	119	45	276	167	178	168	70	54	63	131	76	87	274	95	219	18	22	69	238	144	1088	692	298	320	318	968	384	232	240	189	136	34
OTU_28337	1	35	1	2	3	5	15	7	2	0	7	0	0	3	5	22	1	27	18	78	0	0	12	26	4	2	1	15	4	50	16	0	8	22	37	4
OTU_28486	263	110	319	139	879	75	168	37	58	30	40	107	395	128	62	66	43	144	437	196	91	986	409	44	65	80	35	87	197	40	71	41	324	40	140	208
OTU_28624	137	110	47	72	25	22	598	63	19	14	91	23	1	29	46	87	64	428	60	238	18	105	29	25	79	36	45	29	574	88	29	150	122	60	144	1
OTU_28967	1	2	23	41	106	4	20	4	63	53	545	17	0	2	58	93	9	12	145	8	30	54	48	31	61	142	387	3	73	112	80	453	61	54	136	0
OTU_29130	171	289	412	360	144	53	411	55	158	71	283	113	12	47	123	62	290	688	58	267	18	116	591	152	821	719	92	397	332	379	160	594	372	118	310	58
OTU_29553	273	1019	0	2	20	21	483	196	153	518	12	51	13	439	20	67	131	2512	3	49	37	155	2	1	200	335	1	315	250	1376	190	2	41	315	409	95
OTU_30129	22	29	23	61	110	127	57	8	58	75	240	233	46	85	187	231	37	352	58	354	102	772	66	64	25	51	129	9	10	70	10	104	59	44	920	113
OTU_30470	344	65	197	67	290	39	197	15	131	39	5	42	4	7	8	13	56	66	27	10	84	135	265	203	23	375	7	81	48	161	148	6	51	49	32	8
OTU_30585	49	46	40	517	273	42	165	161	54	114	311	259	55	311	217	377	24	63	359	65	180	109	53	79	2121	1147	873	756	279	518	594	624	1066	1166	426	586
OTU_31092	15	13	32	34	20	17	38	10	1	0	34	1	1	0	4	6	13	94	10	38	3	29	35	11	47	28	11	11	6	17	1	6	37	11	224	0
OTU_31237	190	135	199	64	28	21	117	12	46	93	37	11	34	34	21	149	79	332	144	108	25	81	179	171	52	127	128	36	84	182	68	63	75	98	108	34
OTU_31324	0	0	0	0	168	46	2004	242	17	25	0	182	398	248	0	1	122	2	48	11	50	113	27	10	0	45	2	9	1990	7	97	6	17	60	278	490
OTU_31446	28	47	37	597	223	40	48	99	39	372	168	436	26	161	50	298	11	48	137	30	161	276	46	87	1777	1036	685	836	241	523	554	543	539	706	383	325
OTU_31889	0	0	0	1	356	0	391	9	0	0	0	102	794	672	1	0	25	0	1	1	210	666	1	0	1	1	1	48	820	0	0	1	1	0	204	607
OTU_32017	161	114	65	267	55	68	253	170	46	78	12	43	16	77	70	275	100	84	88	56	8	43	98	49	126	252	227	107	182	100	91	60	145	120	62	44
OTU_32150	0	0	0	1	0	0	15	0	0	0	2605	2	0	3	2094	1259	2	4	15	19	5	64	0	1	0	0	1519	3	4	2	0	2212	3	2	6904	0
OTU_32560	34	52	6	1	18	1	39	3	74	36	7	18	1	7	55	87	11	26	16	5	1	2	11	1	21	30	175	59	58	105	152	19	4	27	34	3
OTU_32641	73	75	86	135	126	73	204	23	61	61	134	149	32	50	159	107	89	609	90	243	45	256	116	94	172	92	91	82	254	119	102	171	131	95	427	142
OTU_33048	17	5	251	264	213	5	68	9	19	71	253	187	131	36	27	17	16	3	345	11	190	429	46	7	795	167	97	188	302	56	49	321	320	53	72	60
