OTUId	Delta.Compl1.13_S13	Delta.Compl1.31_S31	Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl1.85_S85	Delta.Compl2.104_S84	Delta.Compl2.14_S14	Delta.Compl2.32_S32	Delta.Compl2.50_S50	Delta.Compl2.68_S68	Delta.Compl2.86_S86	Delta.Compl3.15_S15	Delta.Compl3.33_S33	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl3.87_S87	Delta.Compl4.106_S91	Delta.Compl4.16_S16	Delta.Compl4.34_S34	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl4.88_S88	Delta.Compl5.107_S94	Delta.Compl5.17_S17	Delta.Compl5.35_S35	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta.Compl5.89_S89	Delta.Compl6.108_S95	Delta.Compl6.18_S18	Delta.Compl6.36_S36	Delta.Compl6.54_S54	Delta.Compl6.72_S72	Delta.Compl6.90_S90	Delta1.25_S25	Delta1.43_S43	Delta1.61_S61	Delta1.7_S7	Delta1.79_S79	Delta1.97_S23	Delta2.26_S26	Delta2.44_S44	Delta2.62_S62	Delta2.8_S8	Delta2.80_S80	Delta2.98_S55	Delta3.27_S27	Delta3.45_S45	Delta3.63_S63	Delta3.9_S9	Delta3.99_S64	Delta4.10_S10	Delta4.28_S28	Delta4.46_S46	Delta4.82_S82	Delta5.11_S11	Delta5.29_S29	Delta5.47_S47	Delta5.65_S65	Delta5.83_S83	Delta6.102_S81	Delta6.12_S12	Delta6.30_S30	Delta6.48_S48	Delta6.66_S66	WT1.1_S1	WT1.19_S19	WT1.37_S37	WT1.73_S73	WT2.2_S2	WT2.20_S20	WT2.38_S38	WT2.56_S56	WT2.74_S74	WT2.92_S92	WT3.21_S21	WT3.3_S3	WT3.39_S39	WT3.57_S57	WT3.75_S75	WT3.93_S93	WT4.22_S22	WT4.4_S4	WT4.40_S40	WT4.58_S58	WT4.76_S76	WT5.41_S41	WT5.5_S5	WT5.59_S59	WT5.77_S77	WT6.24_S24	WT6.42_S42	WT6.6_S6	WT6.60_S60	WT6.78_S78	WT6.96_S96	WT.m1	Delta.m10	Delta.m11	Delta.m12	DeltaCompl.m13	DeltaCompl.m14	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	DeltaCompl.m18	WT.m2	WT.m3	WT.m4	WT.m5	WT.m6	Delta.m7	Delta.m8	Delta.m9	DeltaCompl1.t3	DeltaCompl2.t3	DeltaCompl3.t3	DeltaCompl4.t3	DeltaCompl5.t3	WT1.t3	WT2.t3	WT3.t3	WT4.t3	WT5.t3	Delta1.t3	Delta2.t3	Delta3.t3	Delta4.t3	Delta5.t3
OTU_41131	50	19	47	11	3	10	0	91	29	5	35	23	12	13	14	2	0	54	45	27	2	55	0	61	11	22	3	0	0	0	83	6	28	1	45	11	1	9	0	0	19	32	15	3	0	1	19	7	8	3	0	11	32	2	5	24	45	14	1	0	0	2	8	123	1	32	48	66	9	4	18	24	8	15	0	0	8	6	2	3	0	37	45	4	4	1	18	82	2	5	411	5	50	95	2	1	80	43	69	10	69	91	35	99	72	83	22	8	82	82	461	54	22	22	40	16	57	3	29	23	5	5	7	97	1	15	8	1	1
OTU_21509	641	356	1526	447	1972	2	0	911	173	1	313	310	499	24	0	2	0	321	127	1	0	1	0	974	67	2528	425	0	1	13	696	737	3875	91	281	715	712	36	37	1	655	781	698	315	3	13	232	263	482	47	0	203	176	101	1000	8	230	881	378	101	3	0	1	1585	496	24	345	1860	0	1	312	1	3	316	0	202	432	746	12	6	9	193	117	527	1447	782	1029	1164	452	2325	35	1102	3	5258	157	5	369	379	238	1	997	911	809	448	1041	709	313	634	310	1164	38	317	970	279	314	2	1	425	3966	319	18	2229	2777	5415	749	701	482	479	496
OTU_26144	204	88	32	68	9	758	0	415	80	106	183	33	384	4	58	190	0	100	80	130	11	3405	0	56	9	55	95	2	0	2	586	11	440	71	150	123	507	33	6	0	301	128	139	61	1	4	235	144	172	35	0	75	84	117	4	30	426	51	335	1	0	14	66	234	106	65	119	97	0	541	170	31	63	162	0	44	169	133	36	46	3	139	77	129	329	50	65	140	105	1062	2258	92	64	3004	107	14	184	159	456	80	292	415	417	180	65	588	711	213	216	140	2322	183	362	270	289	248	3416	97	511	225	82	379	1167	3111	513	140	172	336	106
OTU_34025	130	47	18	6	0	45	1	424	25	13	137	32	104	10	33	25	0	123	165	54	1	57	0	58	4	25	22	0	0	0	529	20	121	1	174	15	238	27	1	1	66	46	98	20	0	1	241	44	75	81	0	28	46	24	8	58	239	18	15	1	2	10	41	245	52	130	118	122	1	55	76	10	6	88	0	33	97	40	1	1	0	92	54	56	87	10	25	170	12	28	1762	25	99	346	14	0	248	74	297	51	177	425	136	288	62	529	131	130	146	170	1861	201	86	322	150	58	58	22	122	94	2	97	40	360	239	98	75	16	52
OTU_4597	1820	1628	16	4	4	1484	25	3774	4	0	674	2066	2490	134	1	0	3	2009	3714	39	1	3	286	1958	728	57	19	173	991	15	5268	10	4	22	1890	32	1	265	39	6	5	302	1121	257	25	38	1117	34	20	441	4	317	1426	196	93	403	1792	11	0	47	19	18	111	975	4	3367	2271	918	11772	1	210	6	2	1960	1	645	1554	209	2	871	236	2413	3245	629	190	73	112	3849	1	11	50435	40	2286	9	20	532	5638	1743	2195	129	3448	3799	4556	5723	2686	5283	211	2199	5658	3849	52721	2155	262	1558	674	1	4	192	26	1962	873	263	12	29	40	1146	20	47	4
OTU_40251	11	22	63	74	10	113	0	9	5	2	9	37	30	47	70	21	0	15	18	34	46	218	0	90	7	81	18	1	0	0	159	26	300	20	13	22	16	17	3	0	8	15	36	31	0	0	6	0	32	0	0	16	13	4	7	1	82	51	169	20	0	0	23	7	81	10	11	42	12	13	6	43	17	3	0	2	9	14	105	17	0	1	16	18	120	19	40	86	25	42	133	2	78	260	8	56	21	29	83	23	33	9	67	33	97	159	19	11	17	86	211	30	39	6	11	91	264	19	320	20	122	139	67	268	19	36	32	189	81
OTU_35066	156	85	570	168	10	55	0	86	131	105	32	155	315	221	461	47	0	36	35	90	13	86	0	128	10	374	35	1	0	1	168	56	841	25	106	256	72	24	16	0	165	127	18	7	3	3	87	133	79	8	0	26	166	112	116	8	191	120	70	22	0	4	37	637	88	201	123	238	41	70	144	139	174	97	0	54	247	62	34	22	0	45	106	20	41	15	107	142	79	176	1273	17	136	311	12	6	324	192	199	41	241	86	470	71	138	169	214	301	151	142	1409	130	172	95	137	508	99	36	866	271	56	56	255	323	88	21	79	92	88
OTU_39472	17	1	32	8	6	2	0	7	7	4	21	14	66	36	64	9	0	4	2	55	18	44	0	54	3	244	37	0	0	0	63	23	160	0	20	11	7	1	4	0	27	34	4	2	4	0	0	0	0	0	0	8	16	21	56	1	12	32	34	7	0	1	5	40	4	10	10	75	3	2	12	17	19	15	0	4	9	25	19	1	0	2	1	4	11	24	19	30	20	46	165	3	15	168	6	3	20	24	13	6	18	7	80	6	57	63	14	13	3	30	180	21	29	0	25	73	62	37	160	34	20	35	66	174	11	8	0	41	4
OTU_35326	297	51	61	47	2	142	0	258	119	68	183	87	80	74	349	13	0	106	86	421	45	141	0	118	50	119	164	0	0	2	657	96	1304	4	284	19	50	71	0	0	47	115	283	31	0	2	241	125	112	89	0	48	97	46	10	233	744	34	46	1	0	32	108	244	58	273	218	651	0	22	107	66	21	64	0	36	113	164	19	4	0	143	91	97	96	8	11	75	35	67	2305	28	141	794	16	3	491	145	977	140	348	258	167	192	168	659	129	149	234	75	2446	355	78	330	251	362	186	164	1308	85	23	104	102	810	50	283	112	47	58
OTU_2526	946	282	70	32	5	2490	1	9364	829	269	2675	775	3830	807	746	704	0	418	225	1199	14	1135	0	591	111	627	102	3	1	13	3262	1085	1044	137	1429	3269	1252	243	24	7	987	3365	371	272	1	27	2740	3370	2299	887	0	271	709	3196	611	282	2562	1141	1299	85	3	192	331	11170	487	402	550	662	0	1052	2116	169	269	2844	1	647	3317	4696	173	99	11	885	525	936	837	229	504	499	228	1212	27861	5519	1338	30295	615	73	952	980	2844	523	1228	9365	4605	643	702	3275	3168	3964	1410	499	29199	1672	1259	3627	2944	1450	1149	105	1181	3113	272	1066	1440	30910	1276	372	2299	1384	487
OTU_23642	303	106	65	40	21	2835	0	342	340	44	632	106	284	80	322	264	0	162	306	601	21	1963	0	273	44	164	130	9	0	1	938	118	854	45	135	278	881	61	11	0	241	306	93	53	2	8	228	344	407	78	0	132	146	397	331	30	316	154	365	44	0	65	216	1432	165	206	282	822	0	154	206	62	41	179	1	87	391	565	37	63	5	160	124	233	336	118	277	367	86	1532	4171	274	276	2878	269	4	488	278	346	281	409	342	390	468	317	939	360	478	284	367	4447	196	294	306	676	586	1984	139	899	220	100	454	1618	3147	892	95	407	409	165
OTU_44238	0	1	2	5	5	62	18	12	31	4	6	0	0	13	12	9	7	3	2	10	3	48	0	3	1	38	7	1	0	0	144	30	431	17	7	9	9	24	12	0	2	0	0	2	0	0	1	1	3	0	0	4	7	2	4	1	14	0	0	2	0	0	1	50	9	18	11	64	54	35	3	24	96	7	0	6	12	21	136	28	0	0	0	0	1	0	2	0	4	17	100	10	23	122	6	22	29	11	15	1	1	30	0	5	4	144	38	18	0	0	123	31	4	1	10	21	51	8	448	103	164	1	21	128	21	0	3	2	9
OTU_53265	6	9	7	3	0	1	0	4	4	7	0	2	5	3	7	5	0	2	2	5	2	12	0	23	5	21	3	0	0	0	3	4	65	0	16	4	1	2	0	0	9	4	3	0	0	0	26	8	7	3	0	2	8	0	3	0	8	4	6	1	0	0	2	8	4	10	1	6	1	3	5	13	11	4	0	0	2	4	3	2	0	0	7	3	7	0	5	7	6	5	50	5	4	53	0	1	11	10	8	2	15	4	7	4	28	3	8	2	7	7	54	18	9	29	7	12	14	3	65	15	5	7	11	53	1	3	7	7	4
OTU_31446	799	237	28	47	3	156	0	574	53	59	762	260	425	37	597	124	0	378	458	223	40	815	0	161	80	48	99	0	0	4	1496	54	1400	25	573	39	372	133	3	0	333	168	436	50	2	3	232	26	161	93	0	154	233	51	23	457	1320	50	298	8	0	78	287	454	138	423	433	294	1	146	377	11	48	141	0	109	445	137	30	7	1	321	222	161	276	21	46	539	87	132	7463	35	393	1494	67	6	856	387	1777	365	1036	574	685	836	241	1500	523	554	543	539	7856	706	383	325	821	721	855	99	1425	189	37	297	219	1561	375	438	161	306	138
OTU_39136	28	235	179	152	61	190	0	21	37	10	26	27	15	34	37	19	9	42	14	63	21	292	0	45	21	167	27	1	1	0	72	12	264	13	15	30	10	18	16	0	31	12	10	5	2	2	43	5	14	1	0	100	55	12	37	0	132	30	21	79	0	4	102	9	57	29	37	112	110	35	24	60	218	6	0	7	7	16	82	26	2	2	41	0	33	15	152	184	60	64	108	14	138	612	64	22	66	155	132	106	263	21	42	56	66	72	59	14	43	184	246	33	36	44	36	56	313	28	277	224	108	48	124	676	26	12	14	100	57
OTU_8534	807	225	1973	267	98	1913	8023	731	4014	367	1834	2395	631	12719	729	38	3766	1216	132	4878	47	566	9109	343	218	3944	31	75	5645	12	3256	3703	5951	815	399	2367	93	671	1050	591	232	2514	287	36	25392	12126	211	2597	111	1076	1304	89	239	1870	147	299	558	2861	207	926	4529	48	67	32169	76	2446	151	18785	105	57	3116	2829	197	705	19796	82	980	22480	56	1059	18624	273	665	6419	1158	149	3588	502	70	908	6532	6456	175	678	826	95326	2597	328	857	115	1032	8754	3026	1348	561	3268	3173	1062	938	502	6707	1070	268	1287	2201	767	613	106	6766	902	1115	1307	978	1504	1143	25679	111	1133	76
OTU_38289	183	82	106	42	7	27	0	114	8	10	10	39	89	21	17	19	0	16	7	17	0	11	0	91	2	86	10	2	0	0	109	41	376	5	44	19	8	36	3	0	10	11	3	0	0	0	19	7	6	14	0	10	33	15	32	1	25	18	53	3	0	1	11	78	22	22	45	34	1	8	30	17	10	17	0	6	12	41	10	0	1	6	10	1	10	1	44	73	3	37	161	58	15	519	7	0	67	43	26	12	265	114	128	23	93	109	38	18	16	73	176	80	10	33	20	36	11	12	381	27	10	11	40	526	11	3	6	56	22
OTU_37452	95	41	132	70	62	76	0	142	28	53	67	48	138	129	129	31	0	35	12	33	13	64	0	149	18	615	119	1	0	1	171	64	933	11	57	61	36	40	9	0	41	88	18	12	2	1	3	2	23	4	0	14	40	34	50	7	50	52	136	47	0	9	24	83	38	49	39	120	122	30	99	62	45	52	0	14	58	78	36	27	2	10	20	10	24	11	50	40	46	228	627	43	81	411	24	4	88	54	57	33	136	142	186	47	167	172	129	72	30	40	708	97	53	7	120	160	77	120	944	97	63	35	274	435	45	20	23	183	38
OTU_53906	85	25	45	55	17	105	52	57	37	31	45	41	61	56	83	26	16	28	25	74	31	161	33	51	29	61	21	16	15	0	187	26	346	26	22	30	33	25	19	22	54	58	43	16	58	30	60	69	51	24	23	27	30	18	21	30	107	20	46	23	36	7	17	175	21	53	34	109	23	50	34	40	68	25	37	16	36	109	85	29	26	27	28	45	95	6	49	66	37	64	627	37	47	336	30	983	87	57	137	24	110	109	102	53	80	187	84	52	55	66	674	47	70	84	76	109	192	37	372	93	114	101	101	366	52	101	51	69	21
OTU_30585	828	319	49	46	1	61	1	1024	129	39	779	388	485	40	517	43	0	308	448	273	42	541	0	228	51	165	161	1	0	6	2312	126	2142	12	929	54	114	237	2	1	307	311	259	119	1	0	417	55	311	169	0	111	171	57	9	581	1540	217	377	3	1	80	109	700	92	447	451	415	0	57	461	24	63	290	0	134	460	359	65	10	5	421	203	180	109	1	53	1066	79	38	6672	85	387	1577	30	3	898	282	2121	189	1147	1025	873	756	279	2318	518	594	624	1066	7059	1166	426	586	818	560	583	162	2154	353	75	110	117	1607	116	260	311	380	92
OTU_51805	1	0	1	2	0	0	0	4	0	0	1	4	1	0	0	0	0	1	1	0	0	0	0	5	2	4	2	0	0	0	9	1	40	0	3	5	3	0	0	0	1	1	4	0	0	0	0	0	1	0	0	0	0	0	1	0	5	6	3	0	0	0	0	6	8	0	1	19	0	0	5	0	0	1	0	0	1	5	0	0	0	3	0	5	4	0	0	9	3	4	0	3	0	35	0	0	1	0	5	0	1	4	5	2	7	9	5	1	3	9	0	3	1	0	1	0	0	2	40	1	0	4	7	35	3	4	1	3	8
